Sr. No.,Institute Code,Institute Name,Status,Total Intake
234.0,6139,"Progressive Education Society's Modern College of Engineering, Pune","Un-Aided, Autonomous",960
235.0,6141,"Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune","Un-Aided, Autonomous",840
236.0,6144,"Genba Sopanrao Moze College of Engineering, Baner-Balewadi, Pune",Un-Aided,480
237.0,6145,"JSPM'S Jaywantrao Sawant College of Engineering,Pune",Un-Aided,600
238.0,6146,"MIT Academy of Engineering,Alandi, Pune","Un-Aided, Autonomous",1020
239.0,6149,"Siddhant College of Engineering, A/p Sudumbare, Tal.Maval, Dist-Pune","Un-Aided, Linguistic Minority - Hindi",600
240.0,6155,"G.H.Raisoni College of Engineering & Management, Wagholi, Pune","Un-Aided, Autonomous, Linguistic Minority - Hindi",1050
241.0,6156,"Marathwada Mitra Mandal's College of Engineering, Karvenagar, Pune","Un-Aided, Autonomous",660
242.0,6175,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune","Un-Aided, Autonomous",960
243.0,6177,"Sinhgad College of Engineering, Vadgaon (BK), Pune",Un-Aided,1140
244.0,6178,"Sinhgad Technical Education Society's Smt. Kashibai Navale College of Engineering,Vadgaon,Pune",Un-Aided,1050
245.0,6179,"Indira College of Engineering & Management, Pune","Un-Aided, Autonomous",360
246.0,6182,"Sinhgad Technical Education Society, Sinhgad Institute of Technology and Science, Narhe (Ambegaon)",Un-Aided,450
247.0,6183,"Al-Ameen Educational and Medical Foundation, College of Engineering, Koregaon, Bhima","Un-Aided, Religious Minority - Muslim",138
248.0,6184,"K. J.'s Educational Institut Trinity College of Engineering and Research, Pisoli, Haveli",Un-Aided,420
249.0,6185,Sinhgad Institute of Technology,Un-Aided,630
250.0,6187,"Sinhgad Academy of Engineering, Kondhwa (BK) Kondhwa-Saswad Road, Pune",Un-Aided,600
251.0,6203,"Marathwada Mitra Mandal's Institute of Technology, Lohgaon, Pune",Un-Aided,480
252.0,6206,"Pune District Education Association's College of Engineering, Manjari(Bk), Hadapsar, Pune",Un-Aided,420
253.0,6207,"Dr. D. Y. Patil Unitech Society's Dr. D. Y. Patil Institute of Technology, Pimpri, Pune",Un-Aided,1110
